date,value
6/1/2020,1829
6/1/2020,1824
6/1/2020,1830
6/2/2020,1838
6/2/2020,1831
6/2/2020,1826
6/2/2020,1832
6/2/2020,1837
6/2/2020,1831
6/2/2020,1837
6/2/2020,1831
6/2/2020,1837
6/3/2020,1848
6/3/2020,1969
6/3/2020,1936
6/3/2020,1962
6/3/2020,1932
6/3/2020,1854
6/3/2020,1848
6/3/2020,1841
6/3/2020,1835
6/3/2020,1841
6/3/2020,1836
6/3/2020,1830
6/3/2020,1824
6/3/2020,1819
6/3/2020,1825
6/3/2020,1819
6/3/2020,1826
6/3/2020,1832
6/4/2020,1860
6/4/2020,1854
6/4/2020,1848
6/4/2020,1843
6/4/2020,1849
6/4/2020,1843
6/4/2020,1837
6/4/2020,1842
6/4/2020,1849
6/4/2020,1854
6/4/2020,1848
6/4/2020,1842
6/7/2020,1871
6/7/2020,1865
6/7/2020,1860
6/7/2020,1855
6/7/2020,1855
6/8/2020,1857
6/8/2020,1862
6/8/2020,1868
6/8/2020,1873
6/8/2020,1865
6/11/2020,1830
6/11/2020,1830
6/11/2020,1836
6/11/2020,1841
6/11/2020,1847
6/11/2020,1854
6/11/2020,1859
6/11/2020,1865
6/11/2020,1859
6/11/2020,1852
6/12/2020,1823
6/12/2020,1818
6/12/2020,1959
6/12/2020,1940
6/12/2020,1957
6/12/2020,1971
6/12/2020,1946
6/12/2020,1941
6/12/2020,1823
6/13/2020,1838
6/13/2020,1832
6/13/2020,1827
6/13/2020,1823
6/13/2020,1818
6/14/2020,1833
6/17/2020,1890
6/17/2020,1884
6/17/2020,1880
6/17/2020,1887
6/17/2020,1882
6/17/2020,1876
6/17/2020,1870
6/17/2020,1864
6/17/2020,1859
6/17/2020,1854
6/17/2020,1860
6/17/2020,1854
6/17/2020,1849
6/17/2020,1843
6/17/2020,1837
6/17/2020,1831
6/17/2020,1839
6/18/2020,1903
6/18/2020,1897
6/18/2020,1903
6/18/2020,1898
6/18/2020,1892
6/18/2020,1885
6/18/2020,1891
6/18/2020,1885
6/18/2020,1879
6/18/2020,1885
6/18/2020,1890
6/18/2020,1895
6/18/2020,1890
6/18/2020,1896
6/19/2020,1907
6/19/2020,1912
6/19/2020,1906
6/19/2020,1912
6/19/2020,1909
6/20/2020,1907
6/22/2020,1903
6/22/2020,1897
6/22/2020,1890
6/22/2020,1884
6/22/2020,1890
6/22/2020,1896
6/22/2020,1901
6/24/2020,1920
6/24/2020,1914
6/24/2020,1909
6/25/2020,1912
6/25/2020,1906
6/25/2020,1913
6/25/2020,1919
6/25/2020,1914
6/25/2020,1908
6/25/2020,1914
6/25/2020,1915
6/25/2020,1909
6/25/2020,1915
6/26/2020,1958
6/26/2020,1941
6/26/2020,1925
6/26/2020,1920
6/26/2020,1917
6/26/2020,1911
6/26/2020,1911
6/26/2020,1906
6/27/2020,1974
6/29/2020,1920
6/30/2020,1904
6/30/2020,1957
6/30/2020,1939
6/30/2020,1953
6/30/2020,1910
6/30/2020,1912
6/30/2020,1917
6/30/2020,1923
6/30/2020,1918
6/30/2020,1918
6/30/2020,1924
6/30/2020,1918
6/30/2020,1913
7/1/2020,1904
7/1/2020,1910
7/3/2020,1893
7/3/2020,1899
7/4/2020,1944
7/4/2020,1908
7/4/2020,1903
7/4/2020,1898
7/19/2020,2002
7/19/2020,1926
7/19/2020,1902
7/20/2020,1910
7/20/2020,1903
7/20/2020,1897
7/21/2020,1904
7/22/2020,1897
7/22/2020,1897
7/22/2020,1898
7/23/2020,1891
7/24/2020,1894
7/24/2020,1887
7/25/2020,1886
7/25/2020,1881
7/25/2020,1887
7/26/2020,1886
7/26/2020,1897
7/26/2020,1911
7/26/2020,1925
7/26/2020,1911
7/26/2020,1880
7/26/2020,1875
7/26/2020,1880
7/26/2020,1886
7/26/2020,1880
7/26/2020,1875
7/26/2020,1880
7/26/2020,1874
7/26/2020,1880
7/26/2020,1886
7/26/2020,1879
7/26/2020,1885
7/26/2020,1891
7/26/2020,1885
7/26/2020,1890
7/26/2020,1886
7/26/2020,1881
7/28/2020,1879
7/28/2020,1873
7/28/2020,1877
7/28/2020,1884
7/28/2020,1886
7/28/2020,1892
7/28/2020,1887
7/28/2020,1880
7/28/2020,1885
7/28/2020,1880
7/28/2020,1880
7/29/2020,1889
7/29/2020,1895
7/29/2020,1889
7/29/2020,1883
7/29/2020,1889
7/29/2020,1893
7/29/2020,1898
7/29/2020,1904
7/29/2020,1898
7/29/2020,1892
7/29/2020,1886
7/29/2020,1892
7/29/2020,1886
7/30/2020,1876
7/30/2020,1871
7/30/2020,1876
7/30/2020,1882
7/30/2020,1888
7/30/2020,1883
7/31/2020,1871
8/1/2020,1864
8/1/2020,1870
8/1/2020,1875
8/1/2020,1869
8/1/2020,1864
8/1/2020,1870
8/1/2020,1865
8/9/2020,1865
8/9/2020,1858
8/9/2020,1853
8/9/2020,1845
8/9/2020,1851
8/9/2020,1858
8/10/2020,1890
8/10/2020,1896
8/10/2020,1901
8/10/2020,1906
8/10/2020,1912
8/10/2020,1918
8/10/2020,1913
8/10/2020,1908
8/10/2020,1902
8/10/2020,1909
8/10/2020,1914
8/10/2020,1907
8/10/2020,1912
8/10/2020,1906
8/10/2020,1912
8/10/2020,1906
8/10/2020,1900
8/10/2020,1906
8/10/2020,1912
8/10/2020,1906
8/10/2020,1900
8/10/2020,1894
8/10/2020,1900
8/10/2020,1893
8/10/2020,1887
8/10/2020,1892
8/10/2020,1886
8/10/2020,1882
8/10/2020,1876
8/10/2020,1870
8/11/2020,1884
8/11/2020,1890
8/11/2020,1885
8/11/2020,1890
8/11/2020,1884
8/11/2020,1879
8/11/2020,1884
